dateTime,Cycle_Alt
2017-07-20T06:21:28.250000Z,
2017-07-20T06:21:28.375000Z,
2017-07-20T06:21:28.500000Z,
2017-07-20T06:21:28.625000Z,
2017-07-20T06:21:28.750000Z,
2017-07-20T06:21:28.875000Z,
2017-07-20T06:21:29.000000Z,593
2017-07-20T06:21:29.125000Z,
2017-07-20T06:21:29.250000Z,
2017-07-20T06:21:29.375000Z,
2017-07-20T06:21:29.500000Z,
2017-07-20T06:21:29.625000Z,
2017-07-20T06:21:29.750000Z,
2017-07-20T06:21:29.875000Z,
2017-07-20T06:21:30.000000Z,593
2017-07-20T06:21:30.125000Z,
2017-07-20T06:21:30.250000Z,
2017-07-20T06:21:30.375000Z,
2017-07-20T06:21:30.500000Z,
2017-07-20T06:21:30.625000Z,
2017-07-20T06:21:30.750000Z,
2017-07-20T06:21:30.875000Z,
2017-07-20T06:21:31.000000Z,593
2017-07-20T06:21:31.125000Z,
2017-07-20T06:21:31.250000Z,
2017-07-20T06:21:31.375000Z,
2017-07-20T06:21:31.500000Z,
2017-07-20T06:21:31.625000Z,
2017-07-20T06:21:31.750000Z,
2017-07-20T06:21:31.875000Z,
2017-07-20T06:21:32.000000Z,593
2017-07-20T06:21:32.125000Z,
2017-07-20T06:21:32.250000Z,
2017-07-20T06:21:32.375000Z,
2017-07-20T06:21:32.500000Z,
2017-07-20T06:21:32.625000Z,
2017-07-20T06:21:32.750000Z,
2017-07-20T06:21:32.875000Z,
2017-07-20T06:21:33.000000Z,593
2017-07-20T06:21:33.125000Z,
2017-07-20T06:21:33.250000Z,
2017-07-20T06:21:33.375000Z,
2017-07-20T06:21:33.500000Z,
2017-07-20T06:21:33.625000Z,
2017-07-20T06:21:33.750000Z,
2017-07-20T06:21:33.875000Z,
2017-07-20T06:21:34.000000Z,593
2017-07-20T06:21:34.125000Z,
2017-07-20T06:21:34.250000Z,
2017-07-20T06:21:34.375000Z,
2017-07-20T06:21:34.500000Z,
2017-07-20T06:21:34.625000Z,
2017-07-20T06:21:34.750000Z,
2017-07-20T06:21:34.875000Z,
2017-07-20T06:21:35.000000Z,593
2017-07-20T06:21:35.125000Z,
2017-07-20T06:21:35.250000Z,
2017-07-20T06:21:35.375000Z,
2017-07-20T06:21:35.500000Z,
2017-07-20T06:21:35.625000Z,
2017-07-20T06:21:35.750000Z,
2017-07-20T06:21:35.875000Z,
2017-07-20T06:21:36.000000Z,593
2017-07-20T06:21:36.125000Z,
2017-07-20T06:21:36.250000Z,
2017-07-20T06:21:36.375000Z,
2017-07-20T06:21:36.500000Z,
2017-07-20T06:21:36.625000Z,
2017-07-20T06:21:36.750000Z,
2017-07-20T06:21:36.875000Z,
2017-07-20T06:21:37.000000Z,593
2017-07-20T06:21:37.125000Z,
2017-07-20T06:21:37.250000Z,
2017-07-20T06:21:37.375000Z,
2017-07-20T06:21:37.500000Z,
2017-07-20T06:21:37.625000Z,
2017-07-20T06:21:37.750000Z,
2017-07-20T06:21:37.875000Z,
2017-07-20T06:21:38.000000Z,593
2017-07-20T06:21:38.125000Z,
2017-07-20T06:21:38.250000Z,
2017-07-20T06:21:38.375000Z,
2017-07-20T06:21:38.500000Z,
2017-07-20T06:21:38.625000Z,
2017-07-20T06:21:38.750000Z,
2017-07-20T06:21:38.875000Z,
2017-07-20T06:21:39.000000Z,593
2017-07-20T06:21:39.125000Z,
2017-07-20T06:21:39.250000Z,
2017-07-20T06:21:39.375000Z,
2017-07-20T06:21:39.500000Z,
2017-07-20T06:21:39.625000Z,
2017-07-20T06:21:39.750000Z,
2017-07-20T06:21:39.875000Z,
2017-07-20T06:21:40.000000Z,593
2017-07-20T06:21:40.125000Z,
2017-07-20T06:21:40.250000Z,
2017-07-20T06:21:40.375000Z,
2017-07-20T06:21:40.500000Z,
2017-07-20T06:21:40.625000Z,
2017-07-20T06:21:40.750000Z,
2017-07-20T06:21:40.875000Z,
2017-07-20T06:21:41.000000Z,593
2017-07-20T06:21:41.125000Z,
2017-07-20T06:21:41.250000Z,
2017-07-20T06:21:41.375000Z,
2017-07-20T06:21:41.500000Z,
2017-07-20T06:21:41.625000Z,
2017-07-20T06:21:41.750000Z,
2017-07-20T06:21:41.875000Z,
2017-07-20T06:21:42.000000Z,593
2017-07-20T06:21:42.125000Z,
2017-07-20T06:21:42.250000Z,
